nohup: ignoring input
Device: cuda

=== Epoch 1/100 ===
  Batch 340: Total=0.7112 | loss_classifier: 0.070 | loss_box_reg: 0.060 | loss_mask: 0.555 | loss_objectness: 0.024 | loss_rpn_box_reg: 0.002
  Batch 360: Total=0.2296 | loss_classifier: 0.041 | loss_box_reg: 0.077 | loss_mask: 0.105 | loss_objectness: 0.005 | loss_rpn_box_reg: 0.001
  Batch 380: Total=1.1615 | loss_classifier: 0.247 | loss_box_reg: 0.194 | loss_mask: 0.492 | loss_objectness: 0.193 | loss_rpn_box_reg: 0.036
  Batch 400: Total=0.5587 | loss_classifier: 0.127 | loss_box_reg: 0.121 | loss_mask: 0.274 | loss_objectness: 0.020 | loss_rpn_box_reg: 0.016
Epoch 2 | Avg Loss: 0.4274 | LR: 0.000033

=== Epoch 3/100 ===
  Batch 20: Total=0.4158 | loss_classifier: 0.057 | loss_box_reg: 0.085 | loss_mask: 0.264 | loss_objectness: 0.008 | loss_rpn_box_reg: 0.002
  Batch 40: Total=0.2762 | loss_classifier: 0.053 | loss_box_reg: 0.079 | loss_mask: 0.126 | loss_objectness: 0.017 | loss_rpn_box_reg: 0.002
  Batch 60: Total=1.0050 | loss_classifier: 0.252 | loss_box_reg: 0.215 | loss_mask: 0.506 | loss_objectness: 0.028 | loss_rpn_box_reg: 0.004
  Batch 80: Total=0.3369 | loss_classifier: 0.057 | loss_box_reg: 0.099 | loss_mask: 0.172 | loss_objectness: 0.005 | loss_rpn_box_reg: 0.003
  Batch 100: Total=0.4062 | loss_classifier: 0.080 | loss_box_reg: 0.119 | loss_mask: 0.185 | loss_objectness: 0.018 | loss_rpn_box_reg: 0.005
  Batch 120: Total=0.4078 | loss_classifier: 0.065 | loss_box_reg: 0.097 | loss_mask: 0.225 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.018
  Batch 140: Total=0.7239 | loss_classifier: 0.154 | loss_box_reg: 0.195 | loss_mask: 0.351 | loss_objectness: 0.018 | loss_rpn_box_reg: 0.007
  Batch 160: Total=0.4316 | loss_classifier: 0.027 | loss_box_reg: 0.045 | loss_mask: 0.354 | loss_objectness: 0.004 | loss_rpn_box_reg: 0.001
  Batch 180: Total=0.3058 | loss_classifier: 0.048 | loss_box_reg: 0.052 | loss_mask: 0.199 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.005
  Batch 200: Total=0.2177 | loss_classifier: 0.032 | loss_box_reg: 0.052 | loss_mask: 0.111 | loss_objectness: 0.009 | loss_rpn_box_reg: 0.014
  Batch 220: Total=0.2007 | loss_classifier: 0.041 | loss_box_reg: 0.052 | loss_mask: 0.097 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.008
  Batch 240: Total=0.3236 | loss_classifier: 0.074 | loss_box_reg: 0.060 | loss_mask: 0.180 | loss_objectness: 0.006 | loss_rpn_box_reg: 0.003
  Batch 260: Total=0.2119 | loss_classifier: 0.024 | loss_box_reg: 0.036 | loss_mask: 0.137 | loss_objectness: 0.010 | loss_rpn_box_reg: 0.005
  Batch 280: Total=0.4284 | loss_classifier: 0.060 | loss_box_reg: 0.133 | loss_mask: 0.226 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.006
  Batch 300: Total=0.3097 | loss_classifier: 0.042 | loss_box_reg: 0.054 | loss_mask: 0.204 | loss_objectness: 0.008 | loss_rpn_box_reg: 0.002
  Batch 320: Total=0.2139 | loss_classifier: 0.031 | loss_box_reg: 0.034 | loss_mask: 0.142 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.004
  Batch 340: Total=0.2979 | loss_classifier: 0.031 | loss_box_reg: 0.051 | loss_mask: 0.209 | loss_objectness: 0.004 | loss_rpn_box_reg: 0.003
  Batch 360: Total=0.3558 | loss_classifier: 0.061 | loss_box_reg: 0.071 | loss_mask: 0.211 | loss_objectness: 0.005 | loss_rpn_box_reg: 0.008
  Batch 380: Total=0.2157 | loss_classifier: 0.045 | loss_box_reg: 0.038 | loss_mask: 0.096 | loss_objectness: 0.033 | loss_rpn_box_reg: 0.005
  Batch 400: Total=0.4270 | loss_classifier: 0.074 | loss_box_reg: 0.081 | loss_mask: 0.268 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.003
Epoch 3 | Avg Loss: 0.3930 | LR: 0.000050

=== Epoch 4/100 ===
  Batch 20: Total=0.2967 | loss_classifier: 0.059 | loss_box_reg: 0.046 | loss_mask: 0.169 | loss_objectness: 0.019 | loss_rpn_box_reg: 0.004
  Batch 40: Total=0.2924 | loss_classifier: 0.020 | loss_box_reg: 0.058 | loss_mask: 0.211 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.003
  Batch 60: Total=0.1927 | loss_classifier: 0.005 | loss_box_reg: 0.003 | loss_mask: 0.166 | loss_objectness: 0.011 | loss_rpn_box_reg: 0.008
  Batch 80: Total=0.4136 | loss_classifier: 0.091 | loss_box_reg: 0.065 | loss_mask: 0.224 | loss_objectness: 0.025 | loss_rpn_box_reg: 0.008
  Batch 100: Total=0.3217 | loss_classifier: 0.040 | loss_box_reg: 0.101 | loss_mask: 0.173 | loss_objectness: 0.004 | loss_rpn_box_reg: 0.003
  Batch 120: Total=0.3709 | loss_classifier: 0.031 | loss_box_reg: 0.033 | loss_mask: 0.293 | loss_objectness: 0.008 | loss_rpn_box_reg: 0.007
  Batch 140: Total=0.4824 | loss_classifier: 0.070 | loss_box_reg: 0.151 | loss_mask: 0.250 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.009
